START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
07/31/16,01:35 PM,01:35 PM,Phillies at Braves,Turner Field - Atlanta,"Local TV: CSN",07/31/16,07/31/16,04:35 PM,04:35 PM,FALSE,TRUE,07/31/16,12:35 PM,12:35 PM,FREE,BUSY
08/02/16,07:05 PM,07:05 PM,Giants at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN",08/02/16,08/02/16,10:05 PM,10:05 PM,FALSE,TRUE,08/02/16,06:05 PM,06:05 PM,FREE,BUSY
08/03/16,07:05 PM,07:05 PM,Giants at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN",08/03/16,08/03/16,10:05 PM,10:05 PM,FALSE,TRUE,08/03/16,06:05 PM,06:05 PM,FREE,BUSY
08/04/16,01:05 PM,01:05 PM,Giants at Phillies,Citizens Bank Park - Philadelphia,"Local TV: NBC 10",08/04/16,08/04/16,04:05 PM,04:05 PM,FALSE,TRUE,08/04/16,12:05 PM,12:05 PM,FREE,BUSY
08/05/16,10:40 PM,10:40 PM,Phillies at Padres,Petco Park - San Diego,"Local TV: CSN",08/06/16,08/06/16,01:40 AM,01:40 AM,FALSE,TRUE,08/05/16,09:40 PM,09:40 PM,FREE,BUSY
08/06/16,08:40 PM,08:40 PM,Phillies at Padres,Petco Park - San Diego,"Local TV: CSN",08/06/16,08/06/16,11:40 PM,11:40 PM,FALSE,TRUE,08/06/16,07:40 PM,07:40 PM,FREE,BUSY
08/07/16,04:40 PM,04:40 PM,Phillies at Padres,Petco Park - San Diego,"Local TV: CSN",08/07/16,08/07/16,07:40 PM,07:40 PM,FALSE,TRUE,08/07/16,03:40 PM,03:40 PM,FREE,BUSY
08/08/16,10:10 PM,10:10 PM,Phillies at Dodgers,Dodger Stadium - Los Angeles,"Local TV: CSN",08/09/16,08/09/16,01:10 AM,01:10 AM,FALSE,TRUE,08/08/16,09:10 PM,09:10 PM,FREE,BUSY
08/09/16,10:10 PM,10:10 PM,Phillies at Dodgers,Dodger Stadium - Los Angeles,"Local TV: CSN",08/10/16,08/10/16,01:10 AM,01:10 AM,FALSE,TRUE,08/09/16,09:10 PM,09:10 PM,FREE,BUSY
08/10/16,03:10 PM,03:10 PM,Phillies at Dodgers,Dodger Stadium - Los Angeles,"Local TV: CSN",08/10/16,08/10/16,06:10 PM,06:10 PM,FALSE,TRUE,08/10/16,02:10 PM,02:10 PM,FREE,BUSY
08/12/16,07:05 PM,07:05 PM,Rockies at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN",08/12/16,08/12/16,10:05 PM,10:05 PM,FALSE,TRUE,08/12/16,06:05 PM,06:05 PM,FREE,BUSY
08/13/16,07:05 PM,07:05 PM,Rockies at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN",08/13/16,08/13/16,10:05 PM,10:05 PM,FALSE,TRUE,08/13/16,06:05 PM,06:05 PM,FREE,BUSY
08/14/16,01:35 PM,01:35 PM,Rockies at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN",08/14/16,08/14/16,04:35 PM,04:35 PM,FALSE,TRUE,08/14/16,12:35 PM,12:35 PM,FREE,BUSY
08/16/16,07:05 PM,07:05 PM,Dodgers at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN",08/16/16,08/16/16,10:05 PM,10:05 PM,FALSE,TRUE,08/16/16,06:05 PM,06:05 PM,FREE,BUSY
08/17/16,07:05 PM,07:05 PM,Dodgers at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN",08/17/16,08/17/16,10:05 PM,10:05 PM,FALSE,TRUE,08/17/16,06:05 PM,06:05 PM,FREE,BUSY
08/18/16,07:05 PM,07:05 PM,Dodgers at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN",08/18/16,08/18/16,10:05 PM,10:05 PM,FALSE,TRUE,08/18/16,06:05 PM,06:05 PM,FREE,BUSY
08/19/16,07:05 PM,07:05 PM,Cardinals at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN",08/19/16,08/19/16,10:05 PM,10:05 PM,FALSE,TRUE,08/19/16,06:05 PM,06:05 PM,FREE,BUSY
08/20/16,07:05 PM,07:05 PM,Cardinals at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN",08/20/16,08/20/16,10:05 PM,10:05 PM,FALSE,TRUE,08/20/16,06:05 PM,06:05 PM,FREE,BUSY
08/21/16,01:35 PM,01:35 PM,Cardinals at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN",08/21/16,08/21/16,04:35 PM,04:35 PM,FALSE,TRUE,08/21/16,12:35 PM,12:35 PM,FREE,BUSY
08/23/16,08:10 PM,08:10 PM,Phillies at White Sox,U.S. Cellular Field - Chicago,"Local TV: CSN",08/23/16,08/23/16,11:10 PM,11:10 PM,FALSE,TRUE,08/23/16,07:10 PM,07:10 PM,FREE,BUSY
08/24/16,08:10 PM,08:10 PM,Phillies at White Sox,U.S. Cellular Field - Chicago,"Local TV: CSN",08/24/16,08/24/16,11:10 PM,11:10 PM,FALSE,TRUE,08/24/16,07:10 PM,07:10 PM,FREE,BUSY
08/26/16,07:10 PM,07:10 PM,Phillies at Mets,Citi Field - Flushing,"Local TV: CSN",08/26/16,08/26/16,10:10 PM,10:10 PM,FALSE,TRUE,08/26/16,06:10 PM,06:10 PM,FREE,BUSY
08/27/16,07:10 PM,07:10 PM,Phillies at Mets,Citi Field - Flushing,"Local TV: CSN",08/27/16,08/27/16,10:10 PM,10:10 PM,FALSE,TRUE,08/27/16,06:10 PM,06:10 PM,FREE,BUSY
08/28/16,01:10 PM,01:10 PM,Phillies at Mets,Citi Field - Flushing,"Local TV: CSN",08/28/16,08/28/16,04:10 PM,04:10 PM,FALSE,TRUE,08/28/16,12:10 PM,12:10 PM,FREE,BUSY
08/29/16,07:05 PM,07:05 PM,Nationals at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN",08/29/16,08/29/16,10:05 PM,10:05 PM,FALSE,TRUE,08/29/16,06:05 PM,06:05 PM,FREE,BUSY
08/30/16,07:05 PM,07:05 PM,Nationals at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN",08/30/16,08/30/16,10:05 PM,10:05 PM,FALSE,TRUE,08/30/16,06:05 PM,06:05 PM,FREE,BUSY
08/31/16,07:05 PM,07:05 PM,Nationals at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN",08/31/16,08/31/16,10:05 PM,10:05 PM,FALSE,TRUE,08/31/16,06:05 PM,06:05 PM,FREE,BUSY
09/02/16,07:05 PM,07:05 PM,Braves at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN",09/02/16,09/02/16,10:05 PM,10:05 PM,FALSE,TRUE,09/02/16,06:05 PM,06:05 PM,FREE,BUSY
09/03/16,07:05 PM,07:05 PM,Braves at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN",09/03/16,09/03/16,10:05 PM,10:05 PM,FALSE,TRUE,09/03/16,06:05 PM,06:05 PM,FREE,BUSY
09/04/16,01:35 PM,01:35 PM,Braves at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN",09/04/16,09/04/16,04:35 PM,04:35 PM,FALSE,TRUE,09/04/16,12:35 PM,12:35 PM,FREE,BUSY
09/05/16,01:10 PM,01:10 PM,Phillies at Marlins,Marlins Park - Miami,"Local TV: CSN",09/05/16,09/05/16,04:10 PM,04:10 PM,FALSE,TRUE,09/05/16,12:10 PM,12:10 PM,FREE,BUSY
09/06/16,07:10 PM,07:10 PM,Phillies at Marlins,Marlins Park - Miami,"Local TV: CSN",09/06/16,09/06/16,10:10 PM,10:10 PM,FALSE,TRUE,09/06/16,06:10 PM,06:10 PM,FREE,BUSY
09/07/16,07:10 PM,07:10 PM,Phillies at Marlins,Marlins Park - Miami,"Local TV: CSN",09/07/16,09/07/16,10:10 PM,10:10 PM,FALSE,TRUE,09/07/16,06:10 PM,06:10 PM,FREE,BUSY
09/08/16,07:05 PM,07:05 PM,Phillies at Nationals,Nationals Park - Washington,"Local TV: CSN",09/08/16,09/08/16,10:05 PM,10:05 PM,FALSE,TRUE,09/08/16,06:05 PM,06:05 PM,FREE,BUSY
09/09/16,07:05 PM,07:05 PM,Phillies at Nationals,Nationals Park - Washington,"Local TV: CSN",09/09/16,09/09/16,10:05 PM,10:05 PM,FALSE,TRUE,09/09/16,06:05 PM,06:05 PM,FREE,BUSY
09/10/16,07:05 PM,07:05 PM,Phillies at Nationals,Nationals Park - Washington,"Local TV: CSN",09/10/16,09/10/16,10:05 PM,10:05 PM,FALSE,TRUE,09/10/16,06:05 PM,06:05 PM,FREE,BUSY
09/11/16,01:35 PM,01:35 PM,Phillies at Nationals,Nationals Park - Washington,"Local TV: CSN",09/11/16,09/11/16,04:35 PM,04:35 PM,FALSE,TRUE,09/11/16,12:35 PM,12:35 PM,FREE,BUSY
09/12/16,07:05 PM,07:05 PM,Pirates at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN",09/12/16,09/12/16,10:05 PM,10:05 PM,FALSE,TRUE,09/12/16,06:05 PM,06:05 PM,FREE,BUSY
09/13/16,07:05 PM,07:05 PM,Pirates at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN",09/13/16,09/13/16,10:05 PM,10:05 PM,FALSE,TRUE,09/13/16,06:05 PM,06:05 PM,FREE,BUSY
09/14/16,07:05 PM,07:05 PM,Pirates at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN",09/14/16,09/14/16,10:05 PM,10:05 PM,FALSE,TRUE,09/14/16,06:05 PM,06:05 PM,FREE,BUSY
09/15/16,07:05 PM,07:05 PM,Pirates at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN",09/15/16,09/15/16,10:05 PM,10:05 PM,FALSE,TRUE,09/15/16,06:05 PM,06:05 PM,FREE,BUSY
09/16/16,07:05 PM,07:05 PM,Marlins at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN",09/16/16,09/16/16,10:05 PM,10:05 PM,FALSE,TRUE,09/16/16,06:05 PM,06:05 PM,FREE,BUSY
09/17/16,07:05 PM,07:05 PM,Marlins at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN",09/17/16,09/17/16,10:05 PM,10:05 PM,FALSE,TRUE,09/17/16,06:05 PM,06:05 PM,FREE,BUSY
09/18/16,01:35 PM,01:35 PM,Marlins at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN",09/18/16,09/18/16,04:35 PM,04:35 PM,FALSE,TRUE,09/18/16,12:35 PM,12:35 PM,FREE,BUSY
09/20/16,07:05 PM,07:05 PM,White Sox at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN",09/20/16,09/20/16,10:05 PM,10:05 PM,FALSE,TRUE,09/20/16,06:05 PM,06:05 PM,FREE,BUSY
09/21/16,07:05 PM,07:05 PM,White Sox at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN",09/21/16,09/21/16,10:05 PM,10:05 PM,FALSE,TRUE,09/21/16,06:05 PM,06:05 PM,FREE,BUSY
09/22/16,07:10 PM,07:10 PM,Phillies at Mets,Citi Field - Flushing,"Local TV: CSN",09/22/16,09/22/16,10:10 PM,10:10 PM,FALSE,TRUE,09/22/16,06:10 PM,06:10 PM,FREE,BUSY
09/23/16,07:10 PM,07:10 PM,Phillies at Mets,Citi Field - Flushing,"Local TV: CSN",09/23/16,09/23/16,10:10 PM,10:10 PM,FALSE,TRUE,09/23/16,06:10 PM,06:10 PM,FREE,BUSY
09/24/16,07:10 PM,07:10 PM,Phillies at Mets,Citi Field - Flushing,"Local TV: CSN",09/24/16,09/24/16,10:10 PM,10:10 PM,FALSE,TRUE,09/24/16,06:10 PM,06:10 PM,FREE,BUSY
09/25/16,01:10 PM,01:10 PM,Phillies at Mets,Citi Field - Flushing,"Local TV: CSN",09/25/16,09/25/16,04:10 PM,04:10 PM,FALSE,TRUE,09/25/16,12:10 PM,12:10 PM,FREE,BUSY
09/27/16,07:10 PM,07:10 PM,Phillies at Braves,Turner Field - Atlanta,"Local TV: CSN",09/27/16,09/27/16,10:10 PM,10:10 PM,FALSE,TRUE,09/27/16,06:10 PM,06:10 PM,FREE,BUSY
09/28/16,07:10 PM,07:10 PM,Phillies at Braves,Turner Field - Atlanta,"Local TV: CSN",09/28/16,09/28/16,10:10 PM,10:10 PM,FALSE,TRUE,09/28/16,06:10 PM,06:10 PM,FREE,BUSY
09/29/16,07:10 PM,07:10 PM,Phillies at Braves,Turner Field - Atlanta,"Local TV: CSN",09/29/16,09/29/16,10:10 PM,10:10 PM,FALSE,TRUE,09/29/16,06:10 PM,06:10 PM,FREE,BUSY
09/30/16,07:05 PM,07:05 PM,Mets at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN",09/30/16,09/30/16,10:05 PM,10:05 PM,FALSE,TRUE,09/30/16,06:05 PM,06:05 PM,FREE,BUSY
10/01/16,07:05 PM,07:05 PM,Mets at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN",10/01/16,10/01/16,10:05 PM,10:05 PM,FALSE,TRUE,10/01/16,06:05 PM,06:05 PM,FREE,BUSY
10/02/16,03:05 PM,03:05 PM,Mets at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN",10/02/16,10/02/16,06:05 PM,06:05 PM,FALSE,TRUE,10/02/16,02:05 PM,02:05 PM,FREE,BUSY
